WorkgroupSize	Runtime	StandardDeviation
652	1302.73	162.699
653	1299.81	156.938
654	1286.79	158.81
655	1314.62	125.254
656	1247.36	149.855
657	1303.41	153.746
658	1292.07	150.574
659	1298.43	133.198
660	1290.29	128.802
661	1298.85	158.755
662	1307.89	149.063
663	1291.75	141.827
664	1271	150.325
665	1286.19	128.509
666	1291.47	104.87
667	1311.06	106.622
668	1304.1	127.464
669	1290.05	126.497
670	1296.51	131.878
671	1287.32	135.679
672	1230.82	155.653
673	1675.72	125.744
674	1641.01	107.509
675	1670.8	96.9218
676	1656.54	118.687
677	1644.13	104.889
678	1672.65	108.05
679	1666.68	92.7715
680	1614.57	102.862
681	1628.76	87.51900000000001
682	1621.26	86.6996
683	1652.26	112.798
684	1645.18	101.428
685	1639.7	100.377
686	1648.56	98.51990000000001
687	1651	105.776
688	1568.27	104.343
689	1635.55	88.2251
690	1628.99	91.316
691	1624.04	90.3417
692	1618.4	90.16970000000001
693	1609.83	85.7808
694	1627.07	98.7617
695	1624.98	88.7664
696	1642.95	124.16
697	1635.45	123.323
698	1627.46	116.136
699	1624.46	121.221
700	1623.62	118.359
701	1637.65	119.09
702	1612.85	121.175
703	1621.05	108.755
704	1489.6	106.007
705	1623.17	111.07
706	1601.35	86.6568
707	1627.16	103.458
708	1616.77	128.088
709	1637.43	104.004
710	1599.54	97.5137
711	1608.85	92.2921
712	1580.06	106.67
713	1611.07	98.9122
714	1581.22	88.68170000000001
715	1612.14	80.5804
716	1586.3	102.516
717	1604.92	115.672
718	1603.97	98.2167
719	1610.2	117.595
720	1533.86	99.8712
721	1595.85	111.109
722	1609.27	125.142
723	1626.41	117.964
724	1590.53	110.109
725	1605.72	73.996
726	1601.52	114.659
727	1598.47	117.48
728	1595.1	126.884
729	1591.87	120.317
730	1581.09	106.656
731	1600.82	132.25
732	1556.66	106.367
733	1568.82	91.1157
734	1618.8	134.37
735	1591.74	128.607
736	1466.1	100.462
737	1567.65	106.306
738	1574.33	116.935
739	1570.99	101.593
740	1544.78	106.766
741	1575.42	113.642
742	1537.21	107.793
743	1558.43	99.6576
744	1543.3	113.767
745	1576.76	123.345
746	1556.26	85.5347
747	1544.79	93.3951
748	1539.33	102.512
749	1570.69	118.944
750	1543	81.0167
751	1577.2	135.514
752	1485.73	95.5552
753	1551.29	118.641
754	1550.86	112.938
755	687.949	429.94
756	500.911	10.0425
757	522.755	21.5239
758	668.048	32.441
759	702.662	21.9256
760	736.2430000000001	29.4388
761	1509.41	108.03
762	1541.18	146.376
763	1527.02	107.36
764	1520.32	106.331
765	1535.01	117.349
766	1535.95	122.094
767	1535.24	116.124
768	1438.11	122.192
769	1550.06	114.081
770	1535.94	105.499
771	1529.38	110.705
772	1528.14	121.137
773	1529.63	128.644
774	1508.25	119.993
