NumberOfElements	Complex_Access	Complex_StdDev	Complex_StdErr	Cached_Access	Cached_StdDev	Cached_StdErr	Continuous_Access	Continuous_StdDev	Continuous_StdErr	Constant_Access	Constant_StdDev
1.25829e+07	41682.9	54.4828	7.70503	2956.74	1.00108	0.141574	4617.48	8.05925	1.13975	1835.99	83.9026	11.8656
1.2714e+07	42147.2	66.6686	9.42836	3195.24	0.619336	0.0875874	4664.4	7.36652	1.04178	1844.83	90.8659	12.8504
1.28451e+07	42542	94.7471	13.3993	3018.18	0.993651	0.140523	4712.9	7.88499	1.11511	1854.88	109.114	15.4311
1.29761e+07	42959.3	95.6726	13.5301	3048.64	1.07661	0.152256	4941.05	23.022	3.25581	1870.97	96.991	13.7166
1.31072e+07	43419.7	101.45	14.3472	3078.95	0.8897	0.125823	4807.83	7.34006	1.03804	1864.51	123.815	17.5101
1.32383e+07	43860.7	90.0028	12.7283	3331.23	5.89276	0.833362	4855.88	7.34042	1.03809	1919.24	101.005	14.2842
1.33693e+07	44292.1	71.4476	10.1042	3131.47	1.14064	0.161311	5132.6	11.0122	1.55736	1947.81	76.3305	10.7948
1.35004e+07	44706.4	61.8472	8.74651	3403.52	0.784546	0.110952	4956.6	13.7654	1.94672	1947	132.51	18.7398
1.36315e+07	45182.3	78.8058	11.1448	3192.6	1.02632	0.145143	5007.44	7.0769	1.00083	2001.35	48.378	6.84169
1.37626e+07	45576.6	67.6321	9.56463	3469.03	0.878048	0.124175	5268.65	22.9589	3.24688	1996.77	91.492	12.9389
1.38936e+07	46054.6	80.7163	11.415	3501.88	0.684471	0.0967988	5096.32	6.99044	0.988597	1997.23	102.732	14.5285
1.40247e+07	46442.9	93.8446	13.2716	3534.81	0.715034	0.101121	5142.48	6.31729	0.893399	2043.46	90.5284	12.8026
1.41558e+07	46898.5	88.902	12.5726	3567.66	0.91079	0.128805	5190.49	5.57629	0.788606	2058.99	79.7027	11.2717
1.42868e+07	47350.9	64.4025	9.10788	3600.77	1.0309	0.145791	5484.88	12.6215	1.78495	2044.68	118.875	16.8114
1.44179e+07	47777.4	65.1118	9.20819	3633.3	0.804837	0.113821	5290.2	8.41443	1.18998	2081.66	119.173	16.8536
